Data,Taxa
1985-01-02,1.152e-07
1985-01-03,1.152e-07
1985-01-04,1.152e-07
1985-01-07,1.1738e-07
1985-01-08,1.1738e-07
1985-01-09,1.1738e-07
1985-01-10,1.1738e-07
1985-01-11,1.2004e-07
1985-01-14,1.2004e-07
1985-01-15,1.2004e-07
1985-01-16,1.2276e-07
1985-01-17,1.2276e-07
1985-01-18,1.2276e-07
1985-01-21,1.2276e-07
1985-01-22,1.2513e-07
1985-01-23,1.2513e-07
1985-01-24,1.2513e-07
1985-01-25,1.2513e-07
1985-01-28,1.2705e-07
1985-01-29,1.2705e-07
1985-01-30,1.2705e-07
1985-01-31,1.2971e-07
1985-02-01,1.2971e-07
1985-02-04,1.2971e-07
1985-02-05,1.2971e-07
1985-02-06,1.2971e-07
1985-02-07,1.3229e-07
1985-02-08,1.3229e-07
1985-02-11,1.3491e-07
1985-02-12,1.3491e-07
1985-02-13,1.3491e-07
1985-02-14,1.3756e-07
1985-02-15,1.3756e-07
1985-02-20,1.3756e-07
1985-02-21,1.4022e-07
1985-02-22,1.4022e-07
1985-02-25,1.424e-07
1985-02-26,1.424e-07
1985-02-27,1.424e-07
1985-02-28,1.4295e-07
1985-03-01,1.4295e-07
1985-03-04,1.4295e-07
1985-03-05,1.4535000000000001e-07
1985-03-06,1.4535000000000001e-07
1985-03-07,1.4535000000000001e-07
1985-03-08,1.4535000000000001e-07
1985-03-11,1.4793e-07
1985-03-12,1.4793e-07
1985-03-13,1.4793e-07
1985-03-14,1.5055e-07
1985-03-15,1.5055e-07
1985-03-18,1.5055e-07
1985-03-19,1.5055e-07
1985-03-20,1.52e-07
1985-03-21,1.52e-07
1985-03-22,1.5381999999999998e-07
1985-03-25,1.5527e-07
1985-03-26,1.5673e-07
1985-03-27,1.5818e-07
1985-03-28,1.5927e-07
1985-03-29,1.6109000000000002e-07
1985-04-01,1.6181999999999998e-07
1985-04-02,1.6291e-07
1985-04-03,1.6399999999999999e-07
1985-04-08,1.6509e-07
1985-04-09,1.6582e-07
1985-04-10,1.6655e-07
1985-04-11,1.6764e-07
1985-04-12,1.6836e-07
1985-04-15,1.6945000000000003e-07
1985-04-16,1.7054999999999998e-07
1985-04-17,1.7127e-07
1985-04-18,1.7236e-07
1985-04-19,1.7345e-07
1985-04-23,1.7527e-07
1985-04-24,1.7635999999999997e-07
1985-04-25,1.7709e-07
1985-04-26,1.7818000000000002e-07
1985-04-29,1.7927e-07
1985-04-30,1.8036e-07
